geo,name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
gha,Ghana,42.18776,42.18776,42.18776,42.5364,45.80661,46.96517,47.35543,51.40648,51.63044,51.63044,51.63044,51.63044,51.63044,51.63044,51.63044,50.43206,50.3987,50.6642,60.26262,60.26262,60.26262,62.03924,62.03924,62.03924,60.42593,61.7908,62.41358,62.41358,60.63371,60.94644,60.94644,60.94644,59.77125,60.7115,60.58302,60.58302,60.58302,60.94644,59.97525,59.97525,58.93604,56.34641,63.29515,63.29515,62.09264,62.48028,64.26063
gin,Guinea,28.26954,28.26954,28.26954,28.26954,28.26954,28.26954,31.30262,31.30262,31.30262,26.49942,22.73303,22.73303,23.12922,24.18446,23.12922,23.12922,25.26549,30.63871,30.63871,30.63871,29.82229,31.16697,29.82229,29.82229,29.82229,31.94567,33.18004,34.20883,33.12571,33.12571,33.12571,34.64334,34.64334,31.87327,30.37353,31.93129,31.93129,31.93129,33.91831,35.1597,35.1597,35.1597,35.1597,35.73888,35.971,36.60276,36.60276
gmb,Gambia,27.87371,27.87371,28.97351,28.97351,28.97351,30.60716,31.88315,33.22278,33.22278,31.81243,33.22278,33.22278,33.60266,34.82627,34.82627,33.60266,33.60266,33.89497,33.60266,32.74536,39.53463,39.53463,39.17318,39.36813,39.36813,40.36956,42.26964,42.87794,42.87794,44.06777,44.06777,42.77833,43.59919,44.29585,43.72246,45.2117,43.89066,43.89066,43.40784,44.24955,43.17705,44.75502,50.11102,53.95216,55.23027,56.20897,55.66752
gnb,Guinea-Bissau,32.01296,32.44442,32.44442,32.44442,32.44442,34.39494,33.23384,35.27591,35.46012,35.69652,35.69652,35.69652,35.69652,35.69652,35.87844,41.03289,41.03289,41.03289,42.89197,43.4941,43.4941,43.4941,43.4941,43.30034,43.43358,45.98124,45.98124,45.98124,44.78338,45.38946,45.38946,46.66612,46.66612,45.01689,46.2848,45.01689,45.01689,46.2848,46.2848,45.52109,46.78434,45.66725,46.91719,46.91719,46.91719,44.34313,44.34313
gnq,Equatorial Guinea,17.81131,17.81131,17.81131,17.81131,21.24996,32.492,32.84448,32.84448,31.96999,33.97643,33.97643,33.97643,34.29051,36.01758,36.01758,36.01758,36.01758,36.01758,35.64123,35.42017,35.42017,35.42017,35.42017,35.42017,34.89819,35.1835,36.13962,36.13962,36.13962,37.42411,37.6703,37.6703,37.6703,36.05319,34.94485,37.63096,37.63096,37.63096,38.53469,38.60455,38.60455,37.05204,37.96098,36.19232,36.26263,35.29845,34.23857
grc,Greece,51.65045,54.32349,54.44683,54.44683,54.6468,55.92619,54.99497,58.17437,62.02138,60.21913,64.06752,64.06752,62.27784,64.06752,67.56739,71.73151,71.73151,71.91831,71.97943,71.97943,72.20004,72.20004,75.52021,75.75978,75.75978,78.85568,77.04161,77.04161,77.04161,76.19304,77.74194,77.74194,77.88723,77.88723,78.40662,78.40662,78.40662,78.86144,78.86144,78.86144,78.61255,78.40662,82.35826,82.17616,82.35826,81.19654,81.19654
gtm,Guatemala,17.55072,17.88724,17.88724,17.88724,17.88724,21.6948,22.08089,20.3808,21.97347,21.97347,29.52475,32.57267,32.83591,33.08826,33.08826,38.37188,38.37188,38.37188,38.37188,40.7469,41.57199,46.36431,45.9895,45.9895,45.03111,45.03111,45.03111,45.03111,45.03111,45.28412,46.23052,47.92701,48.5886,47.51236,47.78004,47.78004,48.89628,48.89628,50.12952,50.73574,50.73574,50.49526,50.50248,51.38221,46.31276,49.21075,49.21075
guy,Guyana,41.41965,41.41965,41.41965,41.67402,41.67402,41.00041,40.97797,41.17586,41.17586,42.70521,43.01047,42.7338,44.51781,42.7338,42.91632,44.74053,42.91632,42.49694,42.19743,39.19302,39.19302,41.836,43.48468,51.58397,51.58397,50.12532,52.60667,52.60667,56.31406,57.35023,54.97522,55.75389,58.2402,59.19638,56.00395,57.17365,55.88502,58.67777,58.67777,58.67777,55.87211,59.61819,59.61819,59.61819,60.47078,59.61819,61.757
hnd,Honduras,23.75011,23.75011,23.75011,23.75011,23.75011,26.61816,29.80706,33.65869,35.07107,31.38738,35.35126,34.1849,34.1849,35.62118,36.14246,39.95763,42.29105,44.93463,42.70962,44.53452,47.14291,45.57297,45.98583,46.221,45.33724,49.1721,48.86301,48.86301,50.47639,49.04421,50.77607,52.2851,54.22302,52.49,47.377,47.377,50.69054,50.69054,51.11207,50.13465,50.13465,48.85513,48.21561,50.00443,48.47367,48.59205,51.88956
hrv,Croatia,,,,,,,,,,,,,,,,,48.73936,52.43331,54.65159,52.88164,53.264,53.264,59.3283,59.3283,57.72181,67.8605,69.78896,70.16372,68.22238,68.3178,67.73868,68.0114,68.96235,68.96235,71.32417,72.91031,72.91031,73.22622,73.22622,73.22622,71.0568,73.32297,68.75742,70.07,68.3074,73.86723,73.86723
hti,Haiti,23.23176,23.67554,23.67554,23.67554,24.09675,24.09675,24.25448,25.59233,25.30514,24.9737,24.9737,23.9549,29.05187,30.45429,28.66907,31.09912,31.794,29.45915,29.45915,30.54323,32.04935,32.04935,32.04935,32.04935,32.04935,33.72399,33.72399,33.72399,33.72399,34.4056,34.4056,32.29815,33.94618,33.94618,32.57479,32.57479,32.57479,32.57479,32.77866,32.77866,30.79771,32.50291,32.19351,31.20664,31.20664,34.26291,30.1283
hun,Hungary,61.13103,61.13103,61.48188,61.48188,61.48188,61.48188,60.67784,61.65676,62.75781,62.75781,62.23463,62.23463,62.23463,62.23463,64.76753,74.6305,74.96368,76.59283,74.96368,76.59283,76.59283,74.96368,74.06842,74.07204,72.06374,74.07204,76.8826,76.9776,74.18115,74.07204,74.07204,72.33065,74.3081,72.33065,74.3081,69.65149,70.02661,70.02661,73.57901,73.69367,73.69367,74.09729,72.24146,68.37339,67.41486,71.15626,71.41594
idn,Indonesia,28.00141,28.00141,28.00141,28.26961,28.26961,28.26961,29.70874,30.03034,30.03034,30.03034,31.54582,31.54582,34.19342,35.58407,35.58407,34.19342,34.43071,34.43071,34.43071,34.43071,34.43071,34.43071,34.65219,42.57449,49.14995,49.56745,49.83829,50.24795,50.24795,50.73572,49.68793,48.31024,49.88658,49.94316,49.32904,50.71248,50.9688,50.9688,48.52629,48.73053,47.31474,48.34757,49.0661,49.07587,51.41794,52.64561,53.8152
ind,India,43.4994,43.4994,43.30067,43.30067,43.30067,45.69596,45.96457,46.39116,46.39116,47.24534,47.24534,47.24534,47.24534,47.24534,46.39116,46.17733,49.17205,48.99505,48.99505,50.28874,50.45643,50.21529,50.21529,50.45643,50.45643,52.38081,52.14133,52.14133,52.14133,52.14133,52.14133,52.12536,52.35466,52.12536,52.58658,50.16359,52.06559,52.06559,50.84262,50.27608,49.3151,50.19674,50.19674,50.43182,44.46207,47.48276,48.84058
irl,Ireland,45.97035,45.97035,47.91841,47.72294,47.72294,51.74219,53.88804,55.53121,56.09329,54.11589,57.68051,57.68051,57.68051,57.68051,57.68051,61.583,61.583,62.0833,62.0833,65.06684,65.96071,65.06684,65.06684,65.06684,65.06684,65.06684,65.33499,65.50501,65.50501,67.34829,67.34829,67.34829,68.67958,67.64481,68.67958,68.67958,69.18585,69.8472,72.85257,71.74608,76.25302,79.45252,76.02804,78.36652,78.36652,76.07005,76.07005
irn,Iran,25.06044,25.06044,25.47512,25.47512,18.46121,13.22574,10.37166,10.37166,10.87151,10.87151,10.87151,10.87151,10.87151,11.21847,13.73117,13.73117,13.73117,13.73117,15.64646,15.88127,15.88127,15.88127,23.05916,24.29223,24.29223,24.0073,24.0073,24.18757,25.25986,23.83241,22.94166,21.75347,21.75347,21.88079,21.88079,23.9294,24.04758,24.04758,24.7958,24.7958,24.7958,24.34706,23.14484,24.85282,24.19237,24.24318,19.82895
irq,Iraq,17.14625,17.14625,17.14625,17.89068,17.89068,18.77586,20.76398,22.41999,22.41999,24.73676,24.73676,24.73676,24.73676,23.56326,23.79268,23.79268,23.83812,21.8159,20.94873,20.94873,20.94873,18.57455,18.57455,18.57455,16.64929,17.04523,18.99399,18.99399,29.30717,31.21096,32.15694,33.40863,31.06674,31.06674,33.40863,31.40967,31.40967,31.40967,30.76682,29.6948,29.99038,29.99038,27.15638,29.99038,30.2541,30.2541,28.56115
isl,Iceland,51.05145,51.05145,52.34397,52.34397,52.61789,54.01711,53.60302,55.36131,57.10314,61.75181,63.13071,63.13071,63.72845,63.72845,64.56301,64.56301,64.9908,66.06905,66.66975,67.76465,67.76465,66.91387,67.16174,67.16174,69.50606,75.53677,75.53677,75.53677,76.92814,73.35172,73.35172,75.53845,75.95505,75.95505,76.39358,77.90939,77.90939,77.90939,79.8667,79.8667,79.8667,77.01307,73.08822,75.23936,75.23936,76.61288,82.62886
isr,Israel,67.31011,67.31011,67.31011,67.31011,67.31011,69.57009,69.66577,69.66577,69.66577,70.01806,70.01806,70.01806,70.01806,69.93745,69.93745,69.93745,68.14115,68.62787,68.62787,68.62787,68.62787,68.43001,68.43001,68.43001,68.88297,69.17221,69.17221,69.17221,69.49823,69.49823,69.49823,68.10379,68.10379,68.10379,68.48792,70.20297,68.48792,68.48792,69.22567,69.22567,69.50132,69.09662,69.09662,69.79955,68.27306,71.029,71.34351
ita,Italy,53.51974,54.02348,54.02348,54.02348,54.21189,62.92153,63.72209,61.61433,61.61433,63.9601,61.9036,61.9036,64.95046,64.95046,64.95046,67.02796,73.76418,73.54771,75.3446,75.92936,76.19049,75.79745,75.79745,76.10466,76.10466,76.10466,76.36153,76.36153,76.36153,76.36153,76.74762,77.36986,78.65372,77.81346,77.81346,80.6142,81.73185,81.73185,82.47403,82.47403,82.47403,83.23596,82.69677,80.23262,82.97418,90.80083,90.80083
jam,Jamaica,67.33887,67.76846,68.14654,68.14654,68.14654,72.40324,74.23796,74.6111,74.84063,76.42851,76.42851,75.24253,76.83101,75.24253,72.90858,79.45149,79.45149,79.94592,80.31699,80.31699,80.31699,80.31699,77.40195,75.81216,77.40195,77.40195,77.40195,77.27325,75.67089,75.67089,76.13528,79.33201,81.00295,81.00295,79.45643,79.45643,79.33201,79.33201,80.81364,80.81364,80.81364,83.58949,81.23656,81.23656,81.23656,82.43882,82.43882
jor,Jordan,20.4207,21.16433,21.16433,21.16433,21.75591,27.2568,27.01781,27.33477,27.33477,27.01365,27.25547,28.45462,27.25547,29.23691,35.45432,35.56299,35.77265,35.77265,37.8352,36.1947,36.1947,36.37189,36.14576,36.3038,36.3038,42.71678,42.71678,42.71678,44.37638,44.37638,46.48557,44.34886,46.93896,45.14205,45.14205,46.3856,46.3856,46.3856,46.5192,46.5192,46.5192,46.93996,46.36786,46.36786,46.36786,46.9415,45.49817
jpn,Japan,48.51845,48.51845,48.51845,48.51845,48.71402,49.25179,46.29477,49.76729,49.76729,49.76729,49.76729,55.1554,55.1554,55.1554,55.1554,55.27879,55.27879,55.27879,55.27879,55.27879,56.93856,57.18397,58.92543,59.2065,59.2065,57.77005,59.64932,59.64932,59.64932,59.64932,62.09581,60.30226,60.30226,60.30226,60.49285,60.79089,60.79089,60.42552,60.42552,60.60166,58.59039,58.90162,61.72093,60.48812,60.2903,59.39701,57.11494
kaz,Kazakhstan,,,,,,,,,,,,,,,,,57.85217,57.22108,55.89336,56.74705,56.74705,56.93126,56.93126,56.93126,56.56785,56.56785,56.72713,56.72713,56.72713,56.72713,56.72713,56.86306,57.42328,57.42328,57.61847,56.2761,56.2761,56.82148,57.4893,57.60837,57.60837,55.9294,59.61656,58.35339,58.35339,58.51729,60.6373
ken,Kenya,25.72922,25.72922,26.08082,26.08082,25.71974,25.71974,27.62668,27.62668,27.2262,27.2262,29.48808,29.48808,29.48808,29.48808,27.50855,28.60424,28.60424,37.12578,37.12578,37.12578,37.41736,38.18011,36.15139,36.15139,35.82517,37.86301,38.10988,41.30736,42.33131,42.33131,42.33131,40.87719,41.28502,42.74407,41.28502,46.32255,46.32255,45.6899,46.57626,48.8547,48.8547,48.23486,51.04071,49.26588,51.20762,52.22751,52.22751
kgz,Kyrgyz Republic,,,,,,,,,,,,,,,,,50.99586,52.65697,52.65697,51.89779,51.29888,50.83315,50.83315,50.98011,51.40768,51.10472,51.10472,51.10472,49.50184,49.61486,47.19994,47.19994,52.11524,52.11524,52.11524,57.4893,54.96921,54.96921,55.62007,55.62007,55.99552,54.90678,55.99552,56.84712,52.97934,52.80688,49.57046
khm,Cambodia,18.10188,23.38856,24.58258,24.58258,24.58258,24.02585,24.02585,24.02585,24.02585,24.02585,24.42083,24.47179,24.51437,26.15847,26.15847,27.24645,27.24645,30.33894,29.25207,36.31995,36.31995,36.31995,36.31995,37.98152,37.98152,41.9659,41.9659,41.9659,43.73085,43.73085,42.17059,42.17059,43.73085,43.09614,43.47582,43.47582,43.09614,43.09614,44.63367,44.63367,44.63367,41.50193,42.70479,42.70479,42.70479,42.80021,40.94282
kor,South Korea,35.25351,35.52829,35.52829,34.95335,34.95335,36.94079,35.74752,35.74752,35.98392,35.98392,33.98607,35.90471,36.69352,44.7046,44.96752,45.87965,45.87965,45.87965,49.6041,50.0396,50.0396,50.0396,50.0396,57.0561,57.0561,61.48696,61.48696,62.38643,63.77295,64.00729,62.6245,62.6245,62.6245,64.00729,64.00729,66.43156,66.26467,66.43156,66.43156,66.43156,64.84236,66.04974,63.86916,64.00176,60.24076,60.65752,61.60042
kwt,Kuwait,13.27313,15.02597,15.36393,15.36393,15.36393,20.08423,15.96723,15.96723,15.96723,15.96723,18.03132,19.38139,19.38139,19.52678,19.52678,23.89933,21.60591,20.03463,22.11247,20.14738,20.14738,22.32759,22.32759,22.40385,22.40385,26.29069,26.29069,26.36309,26.36309,26.36309,29.59624,28.13592,29.86049,30.42715,35.59859,33.00453,34.25269,33.72516,33.72516,32.99096,32.99096,32.56061,34.75167,35.50739,36.61987,35.23799,30.87974
lao,Lao,28.36006,39.94943,41.0626,41.0626,41.0626,41.0626,41.73703,41.70148,41.91788,37.21084,39.37867,39.37867,37.21084,39.66777,41.70591,41.70591,43.28919,44.36664,44.36664,44.36664,44.36664,44.36664,45.76272,45.76272,47.70324,49.08659,49.08659,49.08659,49.08659,49.53701,49.53701,49.7047,49.7047,50.48955,49.9395,47.93784,47.93784,47.93784,47.93784,47.93784,47.93784,45.39643,54.78481,51.048,48.34958,54.14354,49.86023
lbn,Lebanon,29.32854,29.32854,29.32854,29.32854,29.32854,29.32854,29.32854,29.53838,29.53838,29.53838,29.53838,29.53838,29.53838,29.53838,29.53838,31.73824,32.11193,32.50198,32.70188,32.70188,32.70188,32.70188,32.70188,32.70188,32.70188,34.62685,33.78323,33.78323,33.78323,33.78323,34.54135,34.7996,34.7996,34.91692,32.871,34.51331,34.60735,34.60735,35.41101,35.41101,35.41101,35.47878,37.44953,40.53444,38.67676,38.06302,35.97064
lbr,Liberia,25.00627,25.00627,25.00627,25.00627,25.00627,39.59954,34.99698,36.98822,36.98822,36.17334,37.39214,37.39214,37.62296,37.62296,38.1161,39.16965,39.16965,39.16965,39.43698,39.74802,39.6529,40.35228,42.37575,42.62191,42.62191,44.821,44.821,44.821,43.19586,47.75157,56.7646,63.11126,57.83094,67.49987,61.86331,57.83094,61.61736,61.61736,61.61736,61.61736,61.61736,55.62268,58.0752,54.25537,54.25537,55.52747,53.98795
lby,Libya,20.29249,20.29249,16.51956,16.51956,16.51956,16.51956,10.85835,20.00857,20.00857,12.67795,21.05644,21.05644,21.05644,21.89927,21.89927,18.39776,22.60051,22.60051,15.27451,23.20059,23.20059,23.71792,23.71792,23.71792,24.1626,24.1626,24.1626,24.54574,29.26656,27.72569,28.26117,29.90431,32.39766,36.01031,38.16021,36.14274,26.93574,33.49455,33.49455,32.89434,31.95464,29.38198,32.97376,32.97376,32.97376,31.35487,31.35487
lka,Sri Lanka,48.95144,48.95144,48.76927,49.03897,49.03897,50.1301,48.22137,50.25838,50.50364,50.50364,50.73996,50.73996,47.47091,50.95793,51.4435,53.14018,51.61199,51.75817,53.29793,51.8824,53.03832,53.15981,53.15981,53.15981,53.15981,53.00251,53.15981,53.26135,53.26135,53.26135,53.26135,51.03568,51.87489,53.26135,53.26135,53.26135,53.26135,53.26135,54.38052,54.53549,54.60372,57.00745,58.10451,56.00855,56.00855,59.3792,63.19531
lso,Lesotho,47.62114,47.62114,47.62114,47.62114,47.62114,50.1181,47.25475,45.48381,45.48381,44.95585,45.86167,46.23807,43.63477,46.23807,44.2597,45.48381,47.75804,47.43982,48.3664,50.10544,50.10544,51.09074,52.37529,54.3841,52.17496,53.51341,53.51341,55.02476,55.02476,55.02476,55.02476,56.49842,58.12114,63.77702,58.12114,58.12114,58.12114,58.12114,61.3059,63.62062,61.3059,62.95878,60.98619,62.38829,56.75885,57.5293,62.86264
ltu,Lithuania,,,,,,,,,,,,,,,,,67.11718,69.83193,69.83193,69.83193,69.83193,71.08597,71.08597,71.08597,71.08597,72.90209,72.90209,72.90209,72.90209,75.88034,78.51829,80.01574,78.51829,78.95685,78.15516,78.15516,78.15516,78.95685,76.55975,76.55975,76.55975,77.08397,78.17002,78.17002,78.53511,77.9564,82.77791
lux,Luxembourg,59.29796,59.29796,59.29796,59.29796,61.00266,61.00266,61.88139,61.88139,61.88139,61.66482,61.66482,61.66482,61.66482,63.60431,64.07328,65.08219,65.08219,65.08219,64.07328,65.60629,66.76706,66.76706,66.76706,66.76706,65.36771,65.36771,65.36771,65.36771,65.36771,66.51203,68.83868,71.28233,69.76236,69.76236,70.40815,69.76236,72.90074,72.90074,72.90074,73.29588,73.61825,72.2456,69.8217,73.61825,74.15288,74.00419,74.57825
lva,Latvia,,,,,,,,,,,,,,,,,71.78829,76.44246,76.54988,76.54988,76.05498,74.40696,74.40696,75.17134,75.17134,77.47911,77.47911,79.42781,80.83793,81.33811,79.69783,79.39853,83.22038,81.73158,83.46387,81.73158,81.99839,85.75429,86.50958,83.70122,83.70122,89.7658,82.00563,83.43634,83.43634,87.24404,89.03117
mar,Morocco,25.65362,28.84325,23.8482,23.8482,23.8482,25.62067,25.5653,25.5653,25.5653,26.19759,27.32821,27.32821,27.32821,27.32821,27.32821,27.32821,28.76364,28.76364,29.28841,29.28841,29.28841,29.28841,31.85346,32.47797,31.97661,39.11294,41.81897,48.03675,48.03675,48.03675,48.03675,48.22214,49.85192,48.55335,48.55335,48.55335,49.91262,51.49148,47.82738,46.18356,49.46071,47.26212,49.86993,49.86993,49.86993,50.11522,52.10296
mda,Moldova,,,,,,,,,,,,,,,,,62.29052,58.37271,58.37271,58.66843,58.66843,58.66843,58.66843,61.58688,63.912,63.912,64.50618,64.50618,65.5957,65.83508,64.7395,65.55021,65.55021,63.66282,66.51204,67.87707,67.87707,67.60598,67.60598,67.89272,65.47006,70.61313,63.5748,63.5748,63.90841,66.17689,77.56843
mdg,Madagascar,34.53957,37.64414,38.74405,38.74405,38.74405,39.32374,39.70383,39.70383,39.43845,39.43845,39.43845,39.7174,39.7174,39.7174,43.77332,44.08082,44.08082,44.46439,43.2302,41.66383,41.66383,41.66383,41.66383,44.67413,44.67413,45.46959,45.46959,46.62188,43.14665,45.08233,45.08233,45.08233,49.28978,53.52683,51.89969,51.68348,52.75378,52.75378,53.41337,59.23419,56.28907,52.55468,56.28907,50.37683,48.82788,48.32973,46.20093
mdv,Maldives,29.68947,30.90969,30.90969,30.90969,32.40773,33.11107,33.11107,33.44072,33.44072,33.06195,33.06195,33.06195,33.06195,33.06195,34.0997,34.0997,34.0997,34.0997,34.41259,34.41259,34.41259,34.41259,34.41259,34.70684,34.70684,38.22145,35.85637,36.12811,37.01417,39.38809,44.65553,44.65553,45.00832,49.0042,41.93086,50.1299,48.80586,49.5759,39.70431,39.61324,37.26679,36.33678,41.32881,41.11448,46.97827,45.52301,46.96105
mex,Mexico,29.09609,29.7055,29.7055,29.7055,33.52074,33.52074,34.56672,34.88739,34.88739,34.88739,36.15591,36.15591,36.15591,36.29554,36.51981,36.51981,37.06678,35.8415,35.8415,42.2715,42.2715,42.5365,44.28855,44.28855,44.28855,44.61003,46.12535,46.12535,45.22217,45.22217,45.22217,46.81753,48.06649,46.04463,47.90058,50.38327,50.5394,50.67531,49.67647,50.14601,52.46334,50.14601,50.14601,52.73718,57.02309,57.02309,54.9817
mkd,North Macedonia,,,,,,,,,,,,,,,,,46.86638,46.86638,45.38638,47.09388,49.22001,47.1224,47.1224,51.1523,51.1523,52.72781,52.72781,58.75442,58.75442,60.58687,60.58687,61.81511,61.81511,63.07547,62.04133,63.83806,63.8878,64.15094,62.94936,63.19479,63.19479,60.6073,59.41648,58.93362,58.54118,57.73736,61.47037
mli,Mali,30.06116,30.06116,30.06116,30.06116,30.08194,30.08194,28.25263,28.3949,28.3949,25.00949,29.09441,25.76745,29.68562,29.68562,33.33816,31.6268,31.39886,39.02679,40.62305,40.62305,40.62305,43.19348,45.33698,45.33698,45.33698,45.33698,45.33698,45.09807,45.09807,45.09807,45.30925,45.30925,45.30925,45.30925,45.30925,45.30925,43.46895,42.96893,44.93637,43.22524,45.06026,43.73191,45.69465,44.4569,45.57934,47.60163,46.86786
mlt,Malta,49.24816,49.04872,51.81922,51.81922,52.02621,52.02621,52.02621,52.02621,52.02621,52.02621,52.02621,52.02621,53.62249,55.5071,55.5071,55.5071,55.5071,55.38785,55.38785,55.38785,55.38785,56.26566,56.26566,58.27481,58.27481,58.27481,54.93052,55.27287,59.70269,64.95806,66.63131,66.63131,67.7561,66.74334,69.5372,69.5372,69.79491,69.79491,70.30245,70.30245,70.30245,71.50425,67.83589,69.38437,69.53786,69.82192,71.57155
mmr,Myanmar,21.14571,21.14571,21.14571,22.09577,22.09577,22.09577,23.74966,21.73613,21.73613,24.03211,22.75263,24.03211,24.03211,30.76084,31.0081,31.0081,31.0081,31.0081,32.69633,32.90354,32.90354,32.90354,32.90354,33.09181,33.09181,31.43072,32.91169,33.11097,31.6079,31.76053,31.76053,30.06726,30.06726,33.64676,35.15701,44.27513,44.78503,44.78503,43.46378,44.49651,47.51107,52.93992,50.15408,52.42038,51.48866,50.92239,43.09622
mne,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.77955,49.28548,49.6947,50.76264,50.76264,50.94216,51.64143,51.47265,51.64143,52.97434,54.31898,55.07632,55.07632,55.07632,54.335,54.335
mng,Mongolia,49.7506,49.7506,49.9923,49.9923,50.38332,50.38332,52.01493,51.05521,51.28014,52.69137,51.30372,51.44987,53.17949,53.29699,53.29699,48.79303,52.07156,55.00485,55.00485,58.08221,58.08221,60.29929,60.29929,60.29929,60.29929,61.28639,60.58855,60.58855,60.58855,60.17161,60.17161,58.42625,60.17161,63.18981,63.18981,61.4069,63.18981,64.33045,61.4699,61.4699,66.24679,62.20428,63.94435,62.43166,61.42956,58.54671,57.18298
moz,Mozambique,32.1753,37.92315,40.58018,40.58018,40.58018,40.76979,41.33065,43.20145,41.63488,41.63488,41.63488,41.63488,41.63488,41.82156,41.82156,46.30077,46.45777,46.45777,48.19229,49.21798,52.64761,52.64761,52.64761,52.78387,55.90639,56.73057,54.9314,57.1757,57.1757,57.49906,57.49906,57.49906,56.15164,57.24119,55.22777,59.66327,59.79829,59.79829,54.67202,54.67202,55.85569,61.05632,58.81951,58.98948,58.39415,60.54304,58.46026
mrt,Mauritania,27.17695,27.17695,27.17695,28.62002,24.74388,24.74388,24.81614,24.81614,24.81614,22.8982,24.81614,24.81614,22.8982,24.81614,24.81614,24.81614,25.53466,23.51894,27.9842,27.9842,29.48427,29.92754,29.92754,29.92754,29.92754,29.92754,30.78121,31.12133,31.20055,34.64998,35.30264,34.52735,37.92472,37.92472,36.03145,36.35897,36.35897,36.35897,40.13196,40.13196,40.13196,37.86369,40.49105,38.45747,40.56615,37.42604,37.95699
mus,Mauritius,38.32436,40.33974,40.63841,41.56186,41.56186,48.02954,46.06178,46.82793,49.03478,49.03478,49.03478,49.03478,49.41664,49.41664,50.52008,54.7785,51.41907,54.28702,54.28702,56.77615,57.609,55.91382,55.91382,53.75562,55.99878,55.8137,55.8137,53.63985,56.43943,56.43943,61.19211,61.19211,62.18295,61.52695,61.52695,62.5053,62.8192,62.8192,64.17732,63.84823,63.84823,62.45255,62.45255,62.70024,63.58147,61.29543,61.29543
mwi,Malawi,25.01415,25.01415,25.01415,25.3628,25.3628,25.8385,27.74288,27.74288,26.92731,26.92731,26.92731,25.38226,27.94816,28.10225,28.10225,28.10225,28.10225,28.34191,29.86465,34.22158,38.12908,38.12908,38.12908,38.12908,40.80241,46.36422,46.36422,46.36422,46.58013,47.42046,47.42046,47.42046,47.42046,45.80629,48.86762,50.41688,50.81894,50.81894,51.67453,48.4822,47.55626,48.4822,46.3751,47.43539,46.27514,48.96064,50.18229
mys,Malaysia,35.28249,35.67263,35.67263,36.07675,36.07675,37.36067,38.55638,39.59749,39.6377,39.6377,41.41519,39.88455,39.88455,39.88455,40.1269,41.43763,41.43763,41.65694,43.09444,41.65694,42.07082,42.28651,42.28651,43.75765,43.76494,43.76494,43.76494,43.96721,42.46374,46.19148,46.19148,46.19148,48.24209,46.50215,46.62094,46.44748,47.45978,47.45978,47.54733,47.54733,47.61807,46.35645,48.09242,49.20147,48.43652,52.06348,52.06348
nam,Namibia,,,,,,,,,,,,,,,,45.25235,45.94082,45.94082,45.94082,47.10496,48.41735,48.65263,48.65263,50.91991,52.59282,53.88375,53.88375,55.71273,53.88375,54.01963,52.80683,53.96516,55.44973,55.79031,54.06418,55.79967,55.65665,55.65665,58.77881,59.24988,59.24988,58.2881,62.13593,59.35415,56.32116,54.99932,54.99932
ner,Niger,36.06248,36.06248,36.06248,36.06248,36.06248,36.06248,30.90056,33.34997,35.1683,35.1683,36.17452,36.17452,36.17452,44.08236,43.2925,43.14956,43.84055,43.84055,46.68508,46.68508,46.22928,47.39382,45.81107,45.81107,45.81107,47.42703,47.42703,47.42703,47.42703,51.65983,51.38862,52.82951,52.82951,52.82951,52.75299,58.86673,57.23194,56.23975,55.78974,55.78974,57.3097,56.58573,57.48942,58.02806,54.8021,54.01907,50.4535
nga,Nigeria,29.3482,29.3482,29.3482,29.3482,29.3482,29.76987,27.45984,27.45984,27.45984,26.12049,31.93874,31.93874,30.69781,32.62843,32.62843,32.57544,34.31831,33.43898,34.31831,34.31831,34.31831,32.57544,35.09734,38.55318,41.93936,41.93936,39.3838,39.3838,40.26291,40.26291,40.26291,38.15099,40.26291,40.91148,40.91148,41.82859,40.85685,41.19077,41.19077,42.15749,42.70549,42.70549,42.70549,39.52565,40.44296,40.07474,37.01467
nic,Nicaragua,22.09468,22.09468,22.09468,22.09468,25.29591,44.45272,44.83828,46.22524,44.71238,44.83828,47.18246,45.69497,45.69497,45.69497,45.69497,50.21631,50.21631,50.21631,51.73101,51.73101,50.5637,50.12311,50.12311,47.58834,46.08089,46.26115,47.07235,47.24068,49.1534,47.3844,47.3844,47.19544,52.13487,52.96615,51.05425,53.71558,54.47039,56.67437,56.67437,56.67437,56.67437,55.33265,52.07156,48.44737,49.54602,53.87246,53.87246
nld,Netherlands,57.78547,57.78547,58.50274,58.50274,58.50274,61.70954,63.58646,62.86158,63.08711,65.8451,64.88324,65.12203,71.41297,70.14138,70.59662,73.69181,72.46668,72.46668,76.57975,77.85215,80.08939,80.08939,80.08939,82.14999,80.28034,88.49024,88.49024,88.66697,94.81055,91.92799,91.92799,91.92799,92.1502,92.1502,97.02792,97.02792,97.02792,97.37472,89.82927,89.82927,89.82927,89.82927,88.6692,84.1114,84.52756,84.52756,89.90519
